A1,A2,DELTA
0.019829944,0.017753632,4.05E-05
0.006999402,0.005774911,0.000355806
0.010034012,0.023609896,8.68E-05
0.009057968,0.023077509,0.000104393
0.020397824,0.024390732,2.93E-05
0.019350795,0.018268274,4.02E-05
0.010903578,0.02203048,7.72E-05
0.014878739,0.014506068,6.59E-05
0.008206148,0.007780237,0.000222914
0.020291347,0.005899134,0.000209207
0.011258503,0.011258503,0.000112385
0.021640062,0.008969236,9.93E-05
0.021391615,0.017221245,3.91E-05
0.016901812,0.012820174,6.73E-05
0.023911583,0.010229221,7.70E-05
0.022349912,0.006573492,0.000168208
0.021444853,0.009909788,8.47E-05
0.009022475,0.023769613,0.000104321
0.019031363,0.021640062,3.50E-05
0.019404034,0.017700394,4.14E-05
0.006573492,0.017647155,0.00019649
0.018108558,0.023556658,3.49E-05
0.008312625,0.021125421,0.000124185
0.010353444,0.012962144,0.000109985
0.017789125,0.018197289,4.40E-05
0.007017148,0.02103669,0.00016819
0.019954168,0.023911583,3.06E-05
0.020007407,0.009022475,0.000101294
0.01786011,0.009608102,9.66E-05
0.020451063,0.007851222,0.000126593
0.014736769,0.009980773,0.000102366
0.015109441,0.007922207,0.00014045
0.020593033,0.017469692,3.98E-05
0.007691506,0.011311742,0.000179396
0.020628526,0.00639603,0.000180355
0.008880505,0.006129836,0.000275176
0.01170216,0.012997636,9.46E-05
0.016262947,0.014417337,6.08E-05
0.005739418,0.01170216,0.000278546
0.021782032,0.019829944,3.29E-05
0.024302,0.007230104,0.000138824
0.02117866,0.01927981,3.48E-05
0.014612545,0.025011851,4.59E-05
0.015624082,0.016901812,5.43E-05
0.01397368,0.006733208,0.000187394
0.01856996,0.008472341,0.000115508
0.023822852,0.015801544,4.02E-05
0.011684413,0.01800208,7.57E-05
0.020025153,0.022438644,3.20E-05
0.014097904,0.023379195,5.01E-05
0.017221245,0.007939954,0.000132169
0.018978124,0.018694184,4.01E-05
0.007993192,0.008898251,0.000202496
0.022722584,0.008188401,0.000113938
0.022509629,0.022562867,2.80E-05
0.010104997,0.022527375,8.70E-05
0.014488322,0.022332166,4.92E-05
0.01686632,0.014967471,5.65E-05
0.022616106,0.012482995,5.78E-05
0.024532702,0.01686632,3.61E-05
0.018782915,0.015091694,5.09E-05
0.024727911,0.010939071,6.81E-05
0.008454595,0.008117416,0.000207375
0.011063295,0.023113001,7.41E-05
0.018889393,0.021373868,3.57E-05
0.018640945,0.005934627,0.000211416
0.025029597,0.015411127,4.03E-05
0.012820174,0.009288669,0.00012398
0.013902695,0.011489205,9.00E-05
0.019368542,0.02188851,3.40E-05
0.025047343,0.017185752,3.47E-05
0.012145816,0.021302883,6.58E-05
0.009217684,0.024568194,9.96E-05
0.022864554,0.021498092,2.89E-05
0.02245639,0.015766052,4.20E-05
0.020735003,0.017629409,3.91E-05
0.022669345,0.009767818,8.48E-05
0.018605453,0.016422663,4.67E-05
0.007425312,0.010548653,0.000196398
0.024550448,0.00682194,0.000153474
0.010868086,0.016706603,8.76E-05
0.013068621,0.024798896,5.49E-05
0.011879622,0.017611662,7.48E-05
0.012376517,0.014168889,8.25E-05
0.010850339,0.020078392,8.06E-05
0.010761608,0.015038456,9.44E-05
0.023130748,0.011879622,6.16E-05
0.011524697,0.010158236,0.000121917
0.013849456,0.014381844,7.17E-05
0.02103669,0.008170655,0.00011723
