A1,A2,A3,A4,A5,A6,A7,A8,DELTA
0.019412466,0.018632257,0.036296993,0.019692541,0.038837674,0.035856875,0.028114799,0.03971791,9.93E-05
0.031795786,0.028574922,0.024513833,0.031635743,0.037477309,0.023733624,0.033776317,0.027274574,0.000118559
0.035836869,0.033476236,0.032716032,0.018152128,0.035736842,0.032736038,0.019192407,0.018812305,0.000139805
0.030375405,0.023713619,0.034376478,0.030215362,0.022233222,0.021573045,0.028434885,0.028774976,0.000112912
0.02241327,0.038957706,0.023333517,0.038817668,0.020312707,0.024133732,0.018552235,0.021653066,0.000139217
0.024833919,0.025294043,0.037077202,0.031615737,0.020552771,0.03009533,0.023933678,0.019232417,0.000141738
0.033736306,0.02379364,0.029855266,0.02983526,0.039497851,0.030515442,0.023193479,0.019032364,0.00015212
0.030975566,0.023253496,0.035156687,0.034916622,0.029055051,0.022953415,0.036236976,0.027654676,0.000117487
0.024793909,0.020532766,0.021052906,0.019052369,0.026754434,0.033656285,0.023153469,0.038417561,0.000105066
0.039057733,0.035976907,0.022493292,0.024433812,0.022833383,0.030835528,0.024173742,0.035576799,8.22E-05
0.018132122,0.01827216,0.026574386,0.036337003,0.036316998,0.037397288,0.020992889,0.032836065,0.000117391
0.027014504,0.029655212,0.026434348,0.033356204,0.028935019,0.027354595,0.033376209,0.037537325,7.93E-05
0.026034241,0.01857224,0.019172401,0.035296724,0.026994499,0.034596537,0.029815255,0.023153469,0.000159628
0.037757384,0.03587688,0.019312439,0.02185312,0.031815791,0.030335394,0.039477845,0.036056928,9.15E-05
0.022073179,0.035416757,0.027534643,0.035276719,0.018912332,0.038037459,0.017892058,0.035156687,6.74E-05
0.035916891,0.029175083,0.021613056,0.026154273,0.022013163,0.020692809,0.038657625,0.025574118,0.00013766
0.027534643,0.038677631,0.038257518,0.023373528,0.019452476,0.034436494,0.026174279,0.017872053,0.00012904
0.038217507,0.027254568,0.039477845,0.030255373,0.038217507,0.027294579,0.023293506,0.035736842,7.60E-05
0.025354059,0.025474091,0.038717642,0.017992085,0.028214826,0.027454622,0.031335662,0.031415684,9.38E-05
0.038497583,0.031955829,0.024833919,0.033456231,0.020832847,0.018992353,0.026914477,0.018852316,0.000188759
0.03039541,0.027654676,0.035856875,0.027134536,0.019872589,0.02431378,0.030755507,0.024293774,0.00012254
0.02159305,0.032535984,0.018632257,0.018232149,0.029075056,0.028314853,0.037737379,0.019812573,0.000165144
0.037477309,0.033716301,0.034136413,0.0303554,0.039817937,0.026954488,0.024433812,0.036897153,6.90E-05
0.020592782,0.028514906,0.029195089,0.019492487,0.029895276,0.031595732,0.022613324,0.022793372,0.000123364
0.028274842,0.024713887,0.034396483,0.028774976,0.032816059,0.035796858,0.022313243,0.022713351,0.000115282
